basin_key,outlet_jn,median_MLE_m_over_n=0.1,median_MLE_m_over_n=0.2,median_MLE_m_over_n=0.3,median_MLE_m_over_n=0.4,median_MLE_m_over_n=0.5,median_MLE_m_over_n=0.6,median_MLE_m_over_n=0.7,median_MLE_m_over_n=0.8,FQ_MLE_m_over_n=0.1,FQ_MLE_m_over_n=0.2,FQ_MLE_m_over_n=0.3,FQ_MLE_m_over_n=0.4,FQ_MLE_m_over_n=0.5,FQ_MLE_m_over_n=0.6,FQ_MLE_m_over_n=0.7,FQ_MLE_m_over_n=0.8,TQ_MLE_m_over_n=0.1,TQ_MLE_m_over_n=0.2,TQ_MLE_m_over_n=0.3,TQ_MLE_m_over_n=0.4,TQ_MLE_m_over_n=0.5,TQ_MLE_m_over_n=0.6,TQ_MLE_m_over_n=0.7,TQ_MLE_m_over_n=0.8
0,47,0.943400621,0.95188576,0.95273912,0.949284673,0.938510239,0.916219473,0.886551917,0.834917963,0.93743825,0.945858121,0.948775053,0.945593119,0.934644341,0.906489015,0.880863428,0.822590113,0.949693084,0.957533956,0.958034039,0.952975452,0.942076325,0.928656459,0.8925668,0.867896795
1,143,0.999343455,0.999584913,0.999704301,0.999861777,0.999136567,0.993312716,0.983167827,0.953656793,0.9988029,0.998808265,0.999144077,0.999720454,0.997874379,0.992462099,0.976447344,0.950125098,0.99962461,0.999694526,0.999835312,0.999907494,0.999575436,0.994277358,0.986542583,0.969412088
2,149,0.992919445,0.995794892,0.99495548,0.985320807,0.958229959,0.907538831,0.845833659,0.780705154,0.991090357,0.995173454,0.994053125,0.982699156,0.954985499,0.901739776,0.838026762,0.770632267,0.99454391,0.996399283,0.995762944,0.988560677,0.961148262,0.917227387,0.853433371,0.790436983
3,162,0.920507252,0.925839424,0.92905581,0.92699337,0.900142908,0.864346266,0.795453906,0.696164966,0.911298633,0.917773962,0.922832489,0.910678446,0.892476499,0.855446935,0.780138552,0.679426789,0.929950833,0.933986187,0.935583115,0.934666991,0.917690337,0.873189092,0.809776247,0.714651823
4,191,0.955890954,0.8641752,0.68954736,0.469968855,0.243150979,0.109632745,0.0334558785,0.0118472259,0.952048898,0.854750216,0.676086366,0.453047872,0.224716723,0.094369024,0.029736232,0.0103758462,0.959639132,0.873389721,0.702357709,0.484648407,0.266105145,0.119736783,0.0387588516,0.0133803654
5,231,0.977350116,0.989495277,0.995247722,0.991412401,0.974175215,0.944944382,0.906637311,0.856245577,0.975157261,0.988381147,0.994599402,0.99068445,0.971941829,0.942666411,0.900149107,0.849701762,0.97963953,0.990418255,0.995901942,0.991892815,0.97740525,0.947360694,0.911704421,0.867073238
6,322,0.912508607,0.958406925,0.986322105,0.982288003,0.937342763,0.85690099,0.744680166,0.613967896,0.902934074,0.955735326,0.985473096,0.980596066,0.932795048,0.850222468,0.734363139,0.601839423,0.921171606,0.961201549,0.987196386,0.98384428,0.941933036,0.863424063,0.755417287,0.625705123
7,336,0.995201468,0.995214462,0.99657011,0.99762845,0.996935487,0.992407262,0.984089971,0.972321987,0.992658496,0.994242489,0.996082783,0.997133434,0.996345401,0.991327643,0.982060075,0.968528569,0.996269882,0.996147752,0.997096956,0.99813509,0.99747169,0.993464589,0.986173391,0.975201249
8,423,0.948185146,0.958105564,0.970592976,0.978583336,0.981802285,0.977190077,0.961718798,0.931115746,0.943787992,0.952112198,0.966034651,0.976916432,0.980931282,0.974501491,0.958247662,0.927785218,0.952540278,0.963598013,0.97370863,0.979955137,0.98266387,0.979045808,0.964983463,0.935044289
9,437,0.981073141,0.984707355,0.989582241,0.99155581,0.985916436,0.969353914,0.938894272,0.891012549,0.978350222,0.982425809,0.988507986,0.990827322,0.984521687,0.967204094,0.935142577,0.885218382,0.983695388,0.986765146,0.990596652,0.992276073,0.987154782,0.971293807,0.942199349,0.897112072
10,497,0.990999818,0.99272728,0.994741738,0.99564743,0.994047225,0.989557981,0.978393018,0.963085294,0.989276707,0.991496444,0.994109869,0.995125175,0.993524671,0.987618566,0.976659298,0.959862053,0.992154896,0.993926525,0.995533586,0.996114254,0.994544506,0.99046433,0.980054975,0.966579676
11,515,0.939510882,0.95741415,0.97753638,0.989815593,0.97555244,0.92264533,0.841078103,0.735299945,0.932221413,0.953217387,0.975234628,0.988723516,0.973116994,0.919573545,0.831803977,0.727364779,0.946852088,0.96262902,0.979793906,0.990751863,0.977803111,0.925334454,0.84885627,0.745165706
12,704,0.972391844,0.970744967,0.970165312,0.971201301,0.971618414,0.975708842,0.975181878,0.966083527,0.966184974,0.965251625,0.965111017,0.965944648,0.969172478,0.973401904,0.973225236,0.96291095,0.978757501,0.97561574,0.974953175,0.976178288,0.973881006,0.977303267,0.977011442,0.968823075
