basin_key,median_movern,min_movern,max_movern,FirstQ_movern,ThirdQ_movern,removed_segments
0,0.357615080101,0.47432172759,0.175365174706,0.266490127403,0.415968403846,[]
1,0.03985459346,0.03985459346,0.03985459346,0.03985459346,0.03985459346,[]
2,0.491220708691,0.97376211396,0.00867930342105,0.249950006056,0.732491411326,[0.0]
3,0.782890170759,0.782890170759,0.782890170759,0.782890170759,0.782890170759,[]
4,0.509802849497,0.509802849497,0.509802849497,0.509802849497,0.509802849497,[]
5,0.501410714195,0.501410714195,0.501410714195,0.501410714195,0.501410714195,[]
6,0.589577271852,0.891820092803,0.287334450902,0.438455861377,0.740698682327,[]
7,0.335142747197,0.335142747197,0.335142747197,0.335142747197,0.335142747197,[]
8,1.24163620294,3.23622505118,0.225829914102,0.616920604981,2.11104744075,[]
9,0.413038650625,0.861368591684,0.159870830997,0.286454740811,0.637203621154,[]
10,0.0674542411719,0.0674542411719,0.0674542411719,0.0674542411719,0.0674542411719,[1.0]
11,0.598075642395,0.754083246819,0.442068037971,0.520071840183,0.676079444607,[]
12,0.271831742093,0.271831742093,0.271831742093,0.271831742093,0.271831742093,[1.0]
