basin_key,Chi_MLE_full,Chi_MLE_points,Chi_MLE_points_min,Chi_MLE_points_max,SA_raw,SA_raw_sterr,SA_raw_R2,SA_raw_p,SA_tribs,SA_tribs_min,SA_tribs_max,SA_segments,SA_segments_min,SA_segments_max,Chi_disorder,Chi_disorder_min,Chi_disorder_max
0,0.5,0.3,0.1,0.436512907252,0.58087015393,0.0138923591514,0.465425772591,2.16960233619e-275,0.699598620232,0.565744442816,0.850279709608,0.357615080101,0.266490127403,0.415968403846,0.40000001,0.1,0.60000002
1,0.4,0.4,0.226153652973,0.45741993874,0.194786815301,0.012650437346,0.14179114913,1.25537427788e-49,0.969472786728,0.649404616104,1.28455051216,0.03985459346,0.03985459346,0.03985459346,0.40000001,0.35000002,0.40000001
2,0.3,0.2,0.129438311007,0.309668419096,0.423707123302,0.0103405837629,0.421113426945,2.75860397752e-276,0.597078226849,0.122281076126,1.17383266699,0.491220708691,0.249950006056,0.732491411326,0.30000001,0.2,0.30000001
3,0.3,0.3,0.1,0.4736455576,0.620013994515,0.010837748227,0.624368593491,0.0,0.725715830913,0.427597776244,0.803634084215,0.782890170759,0.782890170759,0.782890170759,0.40000001,0.30000001,0.60000002
4,0.1,0.1,0.1,0.109094839691,0.298167778752,0.0105799383324,0.193141695278,7.49312449788e-157,0.7803782758,0.612979304981,1.03315583172,0.509802849497,0.509802849497,0.509802849497,0.1,0.1,0.1
5,0.3,0.3,0.273695274401,0.336060480796,0.456625197011,0.0055943274038,0.709336276934,0.0,0.534869419924,0.460194550708,0.731960336012,0.501410714195,0.501410714195,0.501410714195,0.30000001,0.30000001,0.30000001
6,0.4,0.3,0.293540128367,0.353768368274,0.456755959492,0.00688620468353,0.686834238224,0.0,0.63063679014,0.513999027236,1.18385930337,0.589577271852,0.438455861377,0.740698682327,0.40000001,0.30000001,0.40000001
7,0.4,0.4,0.303473822552,0.506724249084,0.393696321306,0.00967514672051,0.525350430202,2.40429693939e-244,0.515189088018,0.33361600268,0.800748170532,0.335142747197,0.335142747197,0.335142747197,0.40000001,0.1,0.5
8,0.4,0.5,0.435957091267,0.544586888776,0.398057546397,0.00714710552695,0.459277406835,0.0,0.777593400918,0.425080452439,1.08393601187,1.24163620294,0.616920604981,2.11104744075,0.5,0.40000001,0.60000002
9,0.4,0.4,0.318273277781,0.428299671737,0.509877586135,0.00521130223652,0.761753330489,0.0,0.921321919984,0.624474213195,1.50084859381,0.413038650625,0.286454740811,0.637203621154,0.40000001,0.30000001,0.5
10,0.4,0.4,0.279695384753,0.457624184572,0.182553265956,0.010498422064,0.127938249327,2.65371375654e-63,0.356002722749,0.226584778043,2.03997021463,0.0674542411719,0.0674542411719,0.0674542411719,0.40000001,0.40000001,0.5
11,0.4,0.4,0.381199632595,0.41546599338,0.358631341151,0.00676382129149,0.467594326087,0.0,0.429844285428,0.346149633422,0.636873681395,0.598075642395,0.520071840183,0.676079444607,0.40000001,0.40000001,0.40000001
12,0.7,0.6,0.1,0.739987083636,0.345781062884,0.00820055686208,0.494016888954,1.09763517393e-271,0.653122748751,0.262647557366,1.19759287063,0.271831742093,0.271831742093,0.271831742093,0.60000002,0.40000001,0.70000005
